string	classification	correction
Reporter	s	
Jimmy	s	
Dave	s	
Jay	s	
KELLY	s	
CRAIG	s	
OPRAH	s	
BILL	s	
Ellen	s	
Rose	s	
REGIS	s	
REPORTER	s	
Larry	s	
ELLEN	s	
Conan	s	
Announcer	s	
PAUL	s	
JON	s	
Stephen	s	
PAT	s	
Jon	s	
Steve	s	
Seth	s	
GRETA	s	
SEAN	s	
Bill	s	
JERRY	s	
MARTHA	s	
Paul	s	
RICK	s	
Translator	s	
JENNA	s	
MICHAEL	s	
TAVIS	s	
Charlie	s	
MARC	s	
SHARON	s	
MICHELLE	s	
Shepard	s	
GEOFF	s	
Woodruff	s	
LAURA	s	
Brian	s	
KENT	s	
DAVID	s	
LESLIE	s	
PHILLIP	s	
JOHN	s	
Montel	s	
VO	s	
Pelley	s	
JANE	s	
Gretchen	s	
SHEPARD	s	
ANNOUNCER	s	
Ifill	s	
MEGYN	s	
Brown	s	
SUZIE	s	
Meteorologist	s	
Tyra	s	
ALAN	s	
JOVANA	s	
CALLER	s	
Couric	s	
Caller	s	
ROB	s	
SYLVIA	s	
LEYNA	s	
Bret	s	
JAMES	s	
NARRATOR	s	
Lehrer	s	
JIM	s	
JUAN	s	
GREGG	s	
AMY	s	
Man	s	
Schieffer	s	
Chris	s	
Deborah	s	
John	s	
Kevin	s	
Stahl	s	
Susie	s	
JOSH	s	
BRIT	s	
Suarez	s	
GLEN	s	
Warner	s	
GECKO	s	
AUDIENCE	s	
Sean	s	
CHRIS	s	
SANDRA	s	
Woman	s	
Narrator	s	
SUZANNE	s	
MATTHEWS	s	
GLENN	s	
GELMAN	s	
Kroft	s	
HEATHER	s	
Osgood	s	
SIBILA	s	
JACKIE	s	
BRET	s	
Mike	s	
Greta	s	
SFX	a	
MORGAN	s	
BLITZER	s	
COOPER	s	
ELSA	s	
Moyers	s	
JORY	s	
HAROLD	s	
LISA	s	
ANDREA	s	
MARK	s	
Guest	s	
Glenn	s	
BALDWIN	s	
STEVE	s	
BOSS	s	
Sreenivasan	s	
ANNCR	s	Announcer
KING	s	
GARTH	s	
Jeff	s	
RICH	s	
PHILLIPS	s	
EVELYN	s	
Simon	s	
KATIE	s	
Eliot	s	
Carson	s	
Al	s	
DALLAS	s	
Bob	s	
HOST	s	
JAMIE	s	
Geraldo	s	
KAJ	s	
JEFF	s	
ERIC	s	
Safer	s	
Tom	s	
ANN	s	
STEPHEN	s	
PETER	s	
DEBORAH	s	
Eric	s	
James	s	
ANDERSON	s	
Cenk	s	
Mitchell	s	
AVO	s	
OLBERMANN	s	
WOMAN	s	
MALVEAUX	s	
ANCHOR	s	
All	s	
Dicky	s	
TRACE	s	
Rickey	s	
Glor	s	
GEORGE	s	
MAN	s	
HARRIS	s	
DANNY	s	
JOEL	s	
Matt	s	
Sylvia	s	
Cooper	s	
Greg	s	
STU	s	
Laura	s	
TDD	i	
eporter	s	Reporter
Reporr	s	Reporter
Trace	s	
Trevor	s	
DAVE	s	
Repter	s	Reporter
Logan	s	
Rorter	s	Reporter
HOLMES	s	
CHRISTINA	s	
Max	s	
LEMON	s	
VELSHI	s	
CORRESPONDENT	s	
BRIAN	s	
Cris	s	
REGGIE	s	
MADDOW	s	
Alisyn	s	
HOWIE	s	
Roeper	s	
BURNETT	s	
Guillermo	s	
SMITH	s	
BRYANT	s	
ALISYN	s	
Andy	s	
Axelrod	s	
Translation	s	
ALYSHA	s	
NEIL	s	
LINDA	s	
Tim	s	
Smith	s	
SERENE	s	
SPITZER	s	
GUEST	s	
Dickerson	s	
Fred	s	
GRETCHEN	s	
MIKE	s	
Jim	s	
HENRY	s	
JOY	s	
JIMMY	s	
Dana	s	
CENK	s	
PHIL	s	
SETH	s	
TODD	s	
KID	s	
DAD	s	
Ted	s	
Anncr	s	Announcer
CHETRY	s	
Harris	s	
CURT	s	
Shep	s	Shepard
MOM	s	
Eddie	s	
Both	s	
GREG	s	
GARY	s	
CROWLEY	s	
COSTELLO	s	
Verne	s	
KATHY	s	
KAYE	s	
NICK	s	
Bradley	s	
Mark	s	
STEPHANIE	s	
David	s	
Wallace	s	
MICAH	s	
BRI	s	
KATTY	s	
Diane	s	
Holman	s	
JAY	s	
ARTHEL	s	
WHITNEY	s	
WHITFIELD	s	
Michael	s	
Dan	s	
COLEEN	s	
PARKER	s	
DAN	s	
SHANNON	s	
Suzanne	s	
Audience	s	
Duration	i	
Questlove	s	
Peter	s	
AMBER	s	
Pierre	s	
GUPTA	s	
Megan	s	
ELEX	s	
Meterologist	s	
APPRAISER	s	
Dad	s	
Andrea	s	
MARTIN	s	
TOM	s	
GRIFFIN	s	
Boy	s	
JOHNS	s	
KURTZ	s	
SINGER	s	
Referee	s	
Nick	s	
OBAMA	s	
